a,b,a_radius,b_radius,a_lat,a_lng,b_lat,b_lng
Kabul,Maseru,100,100,34.53,69.17,-29.32,27.48
Tiranë (Tirana),Monrovia,100,100,41.33,19.82,6.3,-10.8
El Djazaïr (Algiers),Tarabulus (Tripoli),100,100,36.75,3.04,32.88,13.19
Pago Pago,Vaduz,100,100,-14.28,-170.7,47.14,9.52
Andorra la Vella,Vilnius,100,100,42.51,1.52,54.69,25.28
Luanda,Luxembourg,100,100,-8.84,13.23,49.61,6.13
The Valley,Antananarivo,100,100,18.22,-63.06,-18.91,47.54
St. John's,Lilongwe,100,100,17.12,-61.85,-13.97,33.79
Buenos Aires,Kuala Lumpur,100,100,-34.61,-58.4,3.14,101.69
Yerevan,Male,100,100,40.18,44.51,4.17,73.51
Oranjestad,Bamako,100,100,12.52,-70.03,12.65,-8
Canberra,Valletta,100,100,-35.28,149.13,35.9,14.51
Wien (Vienna),Majuro,100,100,48.21,16.37,7.09,171.38
Baku,Fort-de-France,100,100,40.38,49.89,14.61,-61.07
Nassau,Nouakchott,100,100,25.06,-77.34,18.09,-15.98
Al-Manamah (Manama),Port Louis,100,100,26.22,50.58,-20.16,57.5
Dhaka,Mamoudzou,100,100,23.71,90.41,-12.78,45.23
Bridgetown,Ciudad de México (Mexico City),100,100,13.1,-59.62,19.43,-99.14
Minsk,Palikir,100,100,53.9,27.57,6.92,158.16
Bruxelles-Brussel,Monaco,100,100,50.85,4.35,43.73,7.42
Belmopan,Ulaanbaatar,100,100,17.25,-88.77,47.91,106.88
Cotonou,Podgorica,100,100,6.37,2.42,42.44,19.26
Porto-Novo,Brades Estate,100,100,6.5,2.6,16.79,-62.21
Hamilton,Rabat,100,100,32.29,-64.78,34.01,-6.83
Thimphu,Maputo,100,100,27.47,89.64,-25.97,32.59
La Paz,Nay Pyi Taw,100,100,-16.5,-68.15,19.75,96.13
Sucre,Windhoek,100,100,-19.03,-65.26,-22.56,17.08
Sarajevo,Nauru,100,100,43.85,18.36,-0.53,166.91
Gaborone,Kathmandu,100,100,-24.65,25.91,27.7,85.32
Brasília,Amsterdam,100,100,-15.78,-47.93,52.37,4.89
Road Town,s-Gravenhage (The Hague),100,100,18.42,-64.62,52.08,4.3
Bandar Seri Begawan,Nouméa,100,100,4.94,114.95,-22.28,166.46
Sofia,Wellington,100,100,42.7,23.32,-41.29,174.78
Ouagadougou,Managua,100,100,12.36,-1.54,12.13,-86.25
Bujumbura,Niamey,100,100,-3.38,29.36,13.51,2.11
Praia,Abuja,100,100,14.92,-23.51,9.06,7.49
Phnum Pénh (Phnom Penh),Alofi,100,100,11.56,104.92,-19.06,-169.92
Yaoundé,Saipan,100,100,3.87,11.52,15.21,145.75
Ottawa-Gatineau,Oslo,100,100,45.42,-75.7,59.91,10.75
Kralendijk,Masqat (Muscat),100,100,12.15,-68.27,23.61,58.59
George Town,Islamabad,100,100,19.29,-81.37,33.7,73.06
Bangui,Koror,100,100,4.36,18.55,7.34,134.48
N'Djaména,Ciudad de Panamá (Panama City),100,100,12.11,15.04,9,-79.52
St. Helier,Port Moresby,100,100,49.19,-2.1,-9.44,147.18
St. Peter Port,Asunción,100,100,49.46,-2.54,-25.3,-57.64
Santiago,Lima,100,100,-33.46,-70.65,-12.04,-77.03
Beijing,Manila,100,100,39.91,116.4,14.6,120.98
Hong Kong,Warszawa (Warsaw),100,100,22.28,114.19,52.23,21.01
Macao,Lisboa (Lisbon),100,100,22.2,113.55,38.72,-9.14
Bogotá,San Juan,100,100,4.61,-74.08,18.47,-66.11
Moroni,Ad-Dawhah (Doha),100,100,-11.7,43.26,25.27,51.52
